FID,u,v,key,osmid,highway,oneway,length,name,lanes,bridge,ref,tunnel,junction,maxspeed,id,source,target,FID_1,id_1,avg_0,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8,avg_9,avg_10,avg_11,avg_12,avg_13,avg_14,avg_15,avg_16,avg_17,avg_18,avg_19,avg_20,avg_21,avg_22,avg_23,fill_ratio,highway_1,drop
0,288416374.000000000000000,3541376393.000000000000000,0.000000000000000,137133120,primary,True,143.316000000000003,昭觉寺南路, , , , , , ,1.000000000000000,288416374.000000000000000,3541376393.000000000000000,1,1.000000000000000,12.418673986100000,14.182216542800001,15.450337794699999,14.044083333300000,13.535399999999999,10.470030000000000,13.908574239700000,10.562126240200000,10.710610350400000,10.489067653399999,10.400043557800000,10.167687012200000,11.023771408100000,9.091428990010000,9.414724491579999,10.283674246400000,8.999904291469999,9.644949611300000,7.548224402430000,9.902021076610000,9.579127354900001,10.022048266800001,11.045330911500001,12.542820228300000,1.000000000000000,primary,1
1,288416379.000000000000000,1159231411.000000000000000,0.000000000000000,184255152,primary,True,277.305000000000007,解放路一段,3, , , , , ,3.000000000000000,288416379.000000000000000,1159231411.000000000000000,3,3.000000000000000,6.152806728530000,7.282813425140000,7.475518594080000,6.576485603050000,9.202518415580000,9.274938180840000,10.954467916200000,8.766618935120000,8.619946438300000,8.623387234080001,9.368738718159999,9.516557283810000,9.716684753510000,9.620597521360001,9.256637949340000,9.862106088350000,11.227399062600000,9.981784542140000,9.102205902300000,11.442323291499999,10.666178378500000,11.076811618400001,9.470564814279999,9.013353206850001,1.000000000000000,primary,1
2,288416379.000000000000000,1947583836.000000000000000,0.000000000000000,184296328,tertiary,False,318.437000000000012,平福巷, , , , , , ,4.000000000000000,288416379.000000000000000,1947583836.000000000000000,4,4.000000000000000,13.175541481500000,0.000000000000000,26.536416666699999,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,22.347825408500000,0.000000000000000,17.690944444399999,10.614566666700000,23.587925925899999,15.163666666699999,0.000000000000000,19.902312500000001,17.690944444399999,9.218606286190001,21.229133333299998,13.509448484800000,12.659431715700000,35.381888888900001,13.268208333300000,0.000000000000000,35.381888888900001,0.666666666667000,tertiary,1
3,288416380.000000000000000,5213252919.000000000000000,0.000000000000000,132627766,primary,True,19.324999999999999,一环路北四段, , , , , , ,5.000000000000000,288416380.000000000000000,5213252919.000000000000000,5,5.000000000000000,4.722936945570000,5.090925946080000,4.215798056110000,5.512888483040000,5.091984126980000,6.155370370370000,3.734060320080000,4.512220842340000,4.452435176900000,4.953067309810000,5.138121108970000,4.745721032640000,4.324208423300000,4.607423794280000,4.761829958880000,4.723947110680000,4.620627562100000,4.732300922850000,4.192517564870000,4.708850341940000,4.720711572630000,4.496003637570000,4.596458452080000,4.373830063250000,1.000000000000000,primary,1
4,288416380.000000000000000,1159230080.000000000000000,0.000000000000000,218383552,primary,True,446.410000000000025,解放路二段,3, , , , , ,6.000000000000000,288416380.000000000000000,1159230080.000000000000000,6,6.000000000000000,10.897169987200000,13.400209544300001,12.570533990300000,14.069606761099999,13.656339978700000,11.737492754100000,9.434784395790000,7.312512696660000,6.724880815560000,6.900068239400000,7.423401879600000,8.272042354240000,8.896821357109999,7.768420917600000,8.021247644470000,8.236304282210000,8.291300347580000,8.723931710870000,9.067027372589999,8.779588483670000,8.945879789259999,9.272855315479999,11.015760802400001,11.730995935999999,1.000000000000000,primary,1
5,288416386.000000000000000,6224263520.000000000000000,0.000000000000000,458891632,primary,True,6.633000000000000,人民北路,4, , , , , ,7.000000000000000,288416386.000000000000000,6224263520.000000000000000,7,7.000000000000000,1.518887864300000,1.838312500000000,1.962262500000000,1.675797619050000,0.411019230769000,1.179200000000000,1.767781105990000,1.746337053570000,1.801384847140000,1.865656829140000,1.675529108130000,1.805334888380000,1.760367321570000,1.669628873460000,1.803066815740000,1.800728480510000,1.922669629760000,1.772025770670000,1.575445473570000,1.831665298490000,1.834267405140000,1.830772222860000,2.232519744160000,1.880104239770000,1.000000000000000,primary,1
6,288416386.000000000000000,6224262558.000000000000000,0.000000000000000,409988943,secondary,True,667.657999999999902,武都路, , , , , , ,8.000000000000000,288416386.000000000000000,6224262558.000000000000000,8,8.000000000000000,13.019239752400001,11.174464733000001,10.662424601100000,13.600440740700000,11.329255680199999,10.116030303000001,11.154524639800000,10.070354910600001,8.813765685270001,7.904488935380000,9.352978588859999,9.203626330680001,9.976817384860000,9.387105148400000,8.904011112690000,9.332451951450000,9.373355518810000,8.565109239480000,9.160281654989999,10.093852108100000,9.853905390270000,10.952797603800001,11.214753490400000,12.030151935399999,1.000000000000000,secondary,1
7,314622896.000000000000000,4230839437.000000000000000,0.000000000000000,28620974,primary,True,15.852000000000000,新光华街,4, , , , , ,9.000000000000000,314622896.000000000000000,4230839437.000000000000000,9,9.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,primary,0
8,314622896.000000000000000,3681180644.000000000000000,0.000000000000000,28620975,primary,True,175.995000000000005,顺城大街,4, , , , , ,10.000000000000000,314622896.000000000000000,3681180644.000000000000000,10,10.000000000000000,18.856607142900000,29.332500000000000,11.733000000000001,0.000000000000000,9.777500000000000,0.000000000000000,0.000000000000000,0.000000000000000,8.389336419750000,15.597440476199999,15.318083333300001,9.596426332509999,18.807308823500001,16.761428571400000,17.632027886500001,11.551604187300001,12.749964026200001,12.567776574600000,26.073333333299999,14.421812500000000,0.000000000000000,20.698215384600001,29.332500000000000,15.582890624999999,0.791666666667000,primary,1
9,314622918.000000000000000,4548211425.000000000000000,0.000000000000000,28620960,primary,True,14.765000000000001,东城根南街,3, , , , , ,11.000000000000000,314622918.000000000000000,4548211425.000000000000000,11,11.000000000000000,3.534623664280000,3.765205202820000,2.639424773090000,2.734259259260000,4.921666666670000,4.101388888890000,4.164487179490000,2.867105815250000,3.155504628080000,3.130187050820000,3.757489289800000,4.028395542850000,3.384503521450000,3.991178939010000,4.015489197450000,4.228225607330000,3.858689515400000,3.250935903430000,3.880227330340000,3.853023004000000,4.189015388010000,3.303398718970000,3.650260910510000,3.856313577400000,1.000000000000000,primary,1
